"التعليقات النحوية Grammar Comments ","تصحيح الكلمة الأصلية (إن لزم) Correction of original word (if necessary)","الكلمة الأصلية Original word","المستوى التعليمي CEFR level","عدد تكرار الكلمة Frequency of word"
"اسم",,"مسلم","A1",549.37
"فعل / اسم",,"فعل","A1",548.83
"فعل",,"رأى","A1",547.88
"فعل",,"يجب","A2",544.86
"اسم",,"تاريخ","B1",544.24
"اسم",,"نظام","B1",539.66
"اسم",,"موقع","A2",539.48
"اسم",,"بيت","A1",537.5
"اسم",,"نظر","A2",536.66
"اسم",,"برنامج","B1",529.13
"اسم","number","ثلاث","A1",520.8
"اسم",,"أهل","A1",517.09
"اسم",,"حالة","B1",516.61
"اسم",,"شعب","B1",516.23
"اسم",,"شخص","A1",511.72
"فعل",,"عرف","A1",509.07
"فعل",,"كتب","A1",502.5
"صفة",,"خاص","A1",502.26
"صفة",,"دولي","B1",497.85
"اسم",,"وزير","B2",492.81
"اسم",,"قانون","B2",485.89
"اسم",,"يد","A1",484.08
"اسم",,"مشروع","B2",481.15
"اسم",,"بحث","B1",477.29
"اسم",,"كاتب","A1",476.27
"اسم",,"مجتمع","B1",475.24
"اسم","number","ألف","A1",472.11
"اسم",,"سؤال","A1",470.56
"اسم",,"حال","B1",468.87
"اسم","number","عشرة","A1",468.34
"اسم",,"قرآن","A2",464.35
"ظرف مكان",,"أمام","A1",463.33
"اسم من الأسماء الخمسة",,"ابن","A1",459.41
"اسم",,"امرأة","A1",458.94
"اسم",,"طالب","A1",458.42
"اسم",,"حرب","B1",457.12
"اسم",,"مكان","A2",450.39
"اسم",,"قضية","B2",449.48
"اسم",,"شهر","A1",448.98
"فعل",,"جاء","A2",447.58
"ظرف",,"بعد","A1",444.16
"ظرف",,"فقط","A2",443.66
"اسم",,"رغم","B1",441.71
"اسم",,"قلب","B1",439.25
"فعل",,"جعل","B1",437.25
"اسم",,"كلمة","A1",437.04
"اسم",,"طلب","A2",435.86
"اسم",,"وصل","A2",432.52
"اسم",,"علاقة","B1",431.58
"اسم",,"تعليق","A2",430.2
"اسم",,"مشكلة","B1",427.09
"اسم",,"حزب","C1",424.94
"فعل",,"جمع","A1",424.54
"اسم",,"صاحب","A1",423.6
"اسم",,"طفل","A1",421.91
"اسم",,"جانب","A1",420.98
"اسم",,"وجود","A2",419.41
"اسم  ",,"حمل","A2",417.34
"اسم",,"ظهر","A1",417.24
"اسم علم",,"الولايات المتحدة","B1",415.1
"اسم",,"حب","A1",408.74
"اسم",,"مدينة","A1",408.2
"اسم",,"كتاب","A1",405.12
"اسم",,"كلام","A1",404.25
"اسم",,"رب","A2",403.39
"اسم",,"إسلام","A1",402.29
"اسم",,"نوع","B1",399.64
"فعل",,"دع","B2",398.72
"فعل",,"أخذ","A2",396.32
"اسم",,"قرار","B2",392.17
"ظرف مكان",,"تحت","A1",389.71
"اسم",,"نتيجة","B1",389.64
"اسم",,"زوج","A1",388.9
"اسم",,"باب","A1",388.61
"اسم",,"فكرة","A2",387.89
"اسم",,"دراسة","A1",387.58
"اسم",,"حقيقة","B1",386.37
"اسم",,"خير","A1",386.08
"اسم",,"مجموعة","B2",385.53
"اسم",,"شأن","B2",383.75
"اسم",,"مال","A1",383.53
"فعل",,"استطاع","A2",383.46
"اسم",,"أمن","B2",382.37
"اسم",,"هدف","B2",378.76
"اسم من الأسماء الخمسة",,"أخ","A1",378.53
"اسم",,"معنى","A1",378.3
"اسم",,"عضو","B2",377.43
"اسم",,"ساعة","A1",374.89
"صفة",,"خاصة","A2",374.03
"اسم",,"لجنة","B2",373.27
"اسم",,"عرض","B1",371.97
"اسم",,"شاب","A1",371.6
"اسم",,"سلطة","A1",365.97
"صفة",,"مختلف","A2",365.46
"اسم",,"وجه","A1",364.43
"اسم",,"نحو","B2",363.34
"اسم",,"ضد","A2",362.11
"اسم",,"مثال","A1",358.76
"اسم",,"طريقة","B1",358.17
"اسم",,"إدارة","B2",357.33
"اسم",,"آية","C1",356.42
"اسم",,"مركز","A2",352.33
"اسم",,"بُعد","A1",351.94
"اسم",,"رأي","A2",345.45
"فعل",,"دخل","A2",344.62
"اسم",,"تحقيق","B2",343.25
"اسم",,"دكتور","A1",343.23
"اسم",,"حسب","B1",341.09
"صفة",,"مجال","B2",340.75
"صفة",,"أخير","A2",340
"اسم",,"عين","A1",336.45
"اسم",,"حاجة","B2",335.86
"اسم",,"ماء","A1",334.28
"اسم",,"حل","B1",332.39
"صفة",,"صحيح","A1",330.52
"اسم",,"فترة","A2",329.8
"صفة",,"خارج","A1",326.27
"اسم",,"واقع","B2",326.17
"اسم",,"معلومة","B2",324.18
"اسم",,"صلاة","A2",323.68
"صفة",,"وطني","C1",321.69
"اسم",,"رد","B1",320.77
"فعل",,"عبر","B2",320.76
"اسم",,"بناء","B1",319.18
"فعل",,"اعتبر","B1",318.39
"اسم",,"ربما","B1",317.23
"صفة",,"عالمي","B2",315.81
"فعل",,"أتى","A2",315.39
"اسم",,"تعليم","A1",315.38
"فعل",,"أكد","A2",314.37
"اسم",,"قيمة","B2",314.36
"اسم","number","مليون","A1",310.89
"اسم",,"رقم","A1",310.41
"اسم",,"عرب","A1",309.71
"اسم",,"نسبة","B1",309.51
"صفة",,"اجتماعي","B1",309.45
"اسم",,"لغة","A1",309.33
"اسم",,"نقل","A2",308.79
" فعل",,"ذهب","A2",308.54
"اسم",,"جزء","A2",307.88
"اسم",,"نص","B1",307.35
"صفة","number","ثالث","A1",307.15
"اسم",,"مصدر","B2",305.78
"صفة",,"اقتصادي","B2",303.54
"اسم",,"عامل","A1",302.11
"اسم",,"عقد","B2",300.73
"صفة",,"حر","B2",300.21
"شبه جملة",,"بالنسبة إلى","C1",299.72
"صفة",,"كامل","B1",299.48
"اسم",,"أمة","C1",298.62
"اسم",,"مشاركة","B2",298.52
"اسم",,"سوق","A2",298.36
"فعل",,"قتل","B2",296.52
"اسم",,"وزارة","C1",296.24
"صفة / اسم  ",,"منظمة","B2",295.39
"اسم",,"ماضي","A2",293.36
"اسم",,"إنتخاب","B2",292.83
"اسم",,"مادة","A2",291.46
"اسم",,"زمن","C2",290.77
"اسم",,"مرحلة","B1",290.69
"فعل",,"بلغ","C1",287.25
"جملة اعتراضية للدعاء ",,"النبي صلى الله عليه وسلم","C1",286.08
"صفة",,"شخصي","A2",285.53
"اسم",,"بيان","C1",285.47
"فعل",,"خرج","B2",285.4
"اسم",,"أساس","B1",284.45
"اسم",,"صوت","A2",284.36
"اسم",,"مواطن","B2",283.2
"اسم",,"جهة","B2",282.06
"اسم",,"مؤسسة","C1",281.19
"فعل",,"حرك","A2",280.54
"اسم",,"جهاز","B2",279.21
"اسم",,"قسم","A2",276.68
"اسم",,"سعر","A2",276.64
"اسم",,"اتفاق","B2",275.93
"صفة",,"موجود","B1",275.55
"صفة",,"صغير","A1",273.41
"اسم",,"شعر","A1",273.21
"اسم",,"ولد","A1",273.16
"فعل / اسم",,"سبق","B1",272.27
"اسم",,"طرف","B1",271.89
"اسم",,"سياسة","C1",271.83
"اسم",,"خط","A2",271
"اسم",,"قطاع","B2",270.26
"فعل / اسم",,"وقع","A2",269.21
"فعل",,"نشر","B2",268.52
"فعل",,"أدى","B1",267.74
"اسم",,"مسألة","C1",267.67
"اسم",,"قدر","A2",267.49
"اسم",,"خبر","B1",266.74
"فعل / اسم",,"خدم","A1",266.28
"اسم",,"نساء","A1",266.25
"فعل",,"حصل","A2",263.57
"اسم تفضيل",,"أفضل","A1",261.4
"صفة",,"عسكري","C1",261.24
"اسم",,"ملك","B1",258.58
"اسم",,"إضافة","B1",258.53
"اسم",,"صدر","A1",258.53
"اسم",,"استخدام","A2",257.23
"صفة",,"عديد","B1",257.22
"اسم",,"صفحة","A2",257.16
"صفة",,"سابق","B1",257
"اسم",,"رسالة","A1",253.41
"اسم",,"موقف","B1",252.47
"صفة",,"قوي","A2",251.92
"صفة",,"حالي","B1",251.51
"اسم",,"رأس","A1",250.89
"صفة",,"عظيم","B1",250.35
"اسم",,"مدرسة","A1",250.1
"فعل  ",,"أشار","B2",250.07
"اسم",,"مستوى","B1",247.65
"اسم",,"نهاية","A2",247.08
"فعل",,"سمع","A2",246.6
"فعل",,"فهم","A2",246.36
"اسم",,"روح","C1",245.84
"اسم","number","خمسة","A1",244.58
"اسم",,"قصة","A1",242
"اسم / فعل",,"زاد","B1",241.12
"فعل",,"خلق","C1",241.11
"اسم",,"زيادة","B1",240.18
"اسم",,"قدرة","B2",239.1
"اسم",,"صحيفة","B1",238.48
"اسم",,"فريق","A2",237.01
"اسم",,"اتحاد","C1",236.29
"فعل",,"دفع","A2",236.1
"اسم",,"وسيلة","B2",235.66
"فعل",,"وقف","A2",234.73
"اسم",,"دعم","C1",234.51
"اسم",,"بداية","B1",234.14
"فعل",,"زال","B2",233.88
"صفة",,"طويل","A1",233.61
"فعل",,"بدا","C1",233.09
"اسم",,"فرد","A2",233.04
"اسم",,"نائب","B2",232.65
"اسم",,"نفس","B1",232.64
"صفة",,"نفسي","B2",232.64
"اسم",,"تقرير","B1",232.21
"اسم  ",,"جيش","C1",231.8
"صفة",,"علمي","B2",230.12
"اسم",,"عالِم","B2",230.11
"فعل",,"تحدث","A2",230.1
"صفة",,"قليل","A1",229.62
"اسم",,"مزيد","B1",229.09
"اسم",,"جماعة","B2",228.89
"اسم",,"فيلم","A1",226.35
"اسم",,"رواية","B1",225.65
"اسم",,"قاعدة","C1",225.5
"صفة",,"واضح","A1",225.37
"صفة",,"قديم","A1",223.86
"اسم",,"مؤتمر","C1",223.85
"صفة",,"ممكن","A1",223.44
"اسم",,"عنوان","A1",223.13
"اسم",,"ذات","B2",220.37
"اسم",,"معرفة","B2",220.34
"اسم",,"ظل","C1",220.22
"فعل",,"ترك","A2",219.01
"اسم",,"فرصة","A2",218.79
"اسم",,"حوار","B1",217.94
"اسم",,"وحدة","B2",217.86
"اسم",,"سيارة","A1",217.71
"اسم",,"مرض","A2",216.65
"أداة استفهام",,"أين","A1",216.45
"فعل",,"دل","C2",216.22
"اسم",,"دولار","A2",215.32
"فعل  ",,"رفع","A2",215.31
"اسم",,"قيام","B2",215.23
"اسم علم",,"عمر","B2",214.48
"اسم",,"دخول","A2",213.93
"اسم",,"جواب","B1",213.65
"ظرف",,"طبعاً","A2",213.51
"اسم","number","أربعة","A1",213.16
"اسم",,"مصلحة","C1",213.1
"اسم",,"جامعة","A1",213.04
"اسم",,"أستاذ","A1",212.39
"اسم",,"جمل","A1",211.05
"اسم",,"ثقافة","B1",210.4
"اسم",,"مساعد","B2",209.39
"اسم",,"مدة","B1",209.09
"اسم",,"تغيير","B2",208.31
"اسم",,"إعلام","B2",207.32
"صفة",,"حقيقي","B1",207.18
"اسم",,"جن","C1",207.16
"اسم",,"رسم","A2",205.97
"اسم",,"أمير","B2",205.36
"حرف جر",,"علي","A1",205.34
"اسم",,"قيادة","B2",205.27
"اسم",,"دعوة","B2",204.6
"اسم",,"سيد","A1",204.51
"اسم تفضيل",,"أقل","A2",202.8
"فعل",,"بشر","B2",202.52
"اسم",,"قراءة","A1",201.34
"اسم",,"جامع","A1",201.21
"اسم",,"خلاف","B1",201.16
"اسم",,"صحة","A2",201.04
"فعل",,"ضمن","B2",200.62
"فعل",,"احتاج","A2",200.02
"اسم",,"دليل","B2",199.53
"فعل",,"قرأ","A2",199.21
"ظرف مكان",,"فوق","A1",199.11
"اسم",,"قرن","A2",198.63
"اسم",,"نعم","A1",198.6
"فعل",,"حاول","B1",197.33
"اسم",,"موت","B1",196
"صفة",,"خارجي","B1",195.73
"اسم",,"إعادة","B2",195.06
"اسم",,"هيئة","C1",194.61
"اسم",,"دم","A2",193.62
"اسم",,"حصول","B1",193.43
"صفة",,"ثقافي","B1",193
"اسم",,"نصف","A1",192.82
"فعل",,"منع","B2",191.64
"فعل",,"تعلق","B2",191.56
"اسم",,"مؤمن","C1",191.45
"صفة",,"جميل","A1",190.8
"ظرف",,"دائما","A1",190.5
"صفة",,"معروف","B2",190.4
"فعل",,"صار","C1",190.22
"فعل  ",,"رفض","B2",190.15
"اسم",,"بنت","A1",190.13
"صفة",,"طيب","A1",189.51
"اسم",,"نار","B1",188.43
"اسم",,"إنتاج","B1",188.19
"ظرف زمان",,"أمس","A1",188
"اسم",,"أسبوع","A1",187.64
"اسم",,"كتابة","A2",187.56
"صفة",,"طبيعي","B1",186.82
"اسم",,"إعتبار","B1",186.71
"فعل / اسم",,"حمد","B1",186.69
"اسم تفضيل",,"أهم","B1",186.34
"اسم",,"مسؤول","B1",186.19
"اسم",,"دار","B2",185.66
"اسم من الأسماء الخمسة",,"أب","A1",185.55
"اسم",,"وسط","A1",185.55
"اسم",,"مدير","A2",185.22
"اسم",,"دفاع","B2",184.57
"اسم",,"صديق","A1",184.41
"فعل",,"وصف","B1",184.35
"فعل / اسم",,"تابع","B2",183.89
"فعل",,"وفق","A2",183.88
"صفة",,"مالي","B2",183.49
"مصطلح دينى  ",,"الله أكبر","B2",182.56
"فعل",,"عاد","B1",182.51
"اسم",,"منتدى","C1",182.17
"اسم",,"ضرورة","B2",181.81
"فعل",,"يجوز","C1",181.68
"اسم",,"سبيل","C1",181.59
"اسم",,"بيع","A2",181.1
"اسم",,"محافظة","B2",180.76
"اسم",,"تنفيذ","B2",179.09
"فعل",,"سأل","A2",178.72
"اسم",,"إجراء","C1",178.13
"اسم",,"تقديم","B2",177.52
"اسم",,"اتصال","B1",176.71
"اسم / صفة",,"مهمة","B2",176.49
"فعل/اسم",,"لعب","A1",176.4
"اسم",,"نفط","B2",176.07
"اسم",,"صباح","A1",175.97
"فعل",,"أضاف","B1",175.96
"اسم",,"شاعر","B1",175.96
"اسم",,"محكمة","B2",175.91
"اسم علم",,"إنترنت","A2",175.76
"اسم",,"فصل","A2",175.31
"اسم",,"يهودي","B2",175.09
"اسم",,"مدى","B2",175.06
"اسم",,"محاولة","B1",174.96
"اسم",,"عودة","B2",174.82
"فعل",,"روى","C2",174.43
"اسم",,"نادي","A1",173.28
"اسم",,"دنيا","A2",173.12
"صفة",,"شديد","B2",172.04
"اسم",,"لقاء","A1",171.5
"اسم",,"أمان","B2",171.11
"صفة",,"مجرد","B1",170.88
"اسم",,"تحديد","B1",170.2
"صفة",,"محلي","C1",169.94
"اسم",,"عقل","B2",169.66
"اسم",,"شر","B2",168.65
"اسم / فعل",,"عصر","B2",168.6
"اسم",,"ملف","B2",168.57
"اسم",,"عدل","C1",168.52
"فعل",,"دعا","B2",168.17
"اسم",,"قضاء","B2",167.88
"اسم",,"عيش","A2",167.37
"اسم",,"شارع","A1",166.04
"فعل",,"تعرف","B1",165.49
"اسم",,"احتلال","C1",165.17
"اسم",,"ناحية","B1",164.45
"فعل",,"مات","A2",164.3
"اسم",,"جنس","B1",164
"اسم",,"قائمة","A2",163.69
"اسم","number","عشرين","A1",163.68
"اسم",,"تجربة","B2",163.18
"اسم",,"أم","A1",163.15
"اسم",,"قائل","A2",162.26
"اسم",,"كرة","A1",160.93
"اسم",,"أسرة","A1",160.56
"اسم",,"أدب","B2",160.38
"اسم",,"مستقبل","B1",159.98
"اسم",,"صفة","B2",159.93
"فعل",,"تعرض","B1",159.91
"اسم",,"سورة","C1",159.9
"صفة",,"مدني","B2",159.32
"فعل",,"جرى","B1",158.84
"اسم",,"أصل","B1",158.72
"اسم / فعل",,"تعامل","B1",158.54
"اسم",,"عود","A2",158.11
"فعل",,"تاب","B1",158
"صفة",,"خطأ","A1",157.99
"اسم",,"سر","B1",157.69
"اسم تفضيل",,"أعلى","B1",157.34
"فعل",,"شك","C1",157.25
"اسم",,"فكر","A2",157.19
"اسم",,"ضغط","B2",156.97
"اسم",,"اجتماع","B1",156.73
"اسم",,"ساكن","A1",156.69
"اسم",,"أثناء","B1",156.25
"اسم","number","مائة","A1",156.14
"صفة","number","رابع","A1",155.91
"صفة",,"قريب","A1",155.88
"اسم",,"عادة","B1",155.84
"صفة",,"معين","B2",155.19
"اسم",,"مقالة","B2",154.88
"اسم",,"عهد","C1",154.39
"اسم",,"مقابل","B1",154.38
"اسم",,"بنك","A1",153.56
"اسم",,"تنظيم","B1",153.14
"اسم",,"مقاومة","C1",152.77
"اسم",,"زواج","A1",152.4
"صفة",,"عالي","A2",151.54
"صفة",,"قادم","A2",150.95
"اسم",,"درجة","A1",150.18
"صفة",,"شعبي","B1",149.84
"اسم",,"حاضر","B1",149.79
"اسم",,"حجم","A2",149.49
"اسم",,"تطوير","B2",149.32
"اسم",,"أسلوب","B2",149.2
"اسم",,"مساء","A1",149.09
"اسم",,"فضل","B1",148.33
"اسم",,"شرطة","A1",148.29
"اسم",,"نقطة","B1",148.27
"اسم",,"زراعة","C1",148.24
"اسم",,"فن","A2",147.75
"اسم",,"إرتفاع","B1",147.4
"اسم",,"مشترك","B1",147.31
"اسم",,"حساب","A2",147.17
"اسم",,"أثر","B2",147.14
"اسم",,"جنوب","A1",147.14
"اسم",,"مواجهة","B1",146.87
"اسم",,"ظرف","B1",146.76
"اسم",,"ليل","A1",146.69
"اسم",,"تفصيل","B2",146.54
"اسم",,"وطن","A1",146.49
"اسم",,"معظم","A2",146.24
"اسم",,"طبيعة","B1",145.55
"صفة",,"معاً","A1",145.55
"اسم",,"ثورة","B2",145.29
"صفة",,"فني","A2",144.73
"اسم",,"تأثير","B2",144.72
"صفة",,"وحيد","B1",144.64
"فعل",,"أرسل","B1",144.54
"مصطلح للدعاء",,"سبحان الله","B1",144.52
"ظرف",,"تماماً","B1",144.12
"صفة",,"صعب","A1",144.04
"اسم",,"شمس","A1",143.09
"اسم",,"لاعب","A2",142.8
"اسم",,"تطبيق","B2",142.32
"اسم",,"نجاح","B1",141.14
"اسم",,"فرق","B1",141.13
"اسم",,"زيارة","A2",140.99
"اسم",,"مقدم","A2",140.56
"اسم",,"أهمية","B1",140.42
"اسم",,"لون","A1",140.01
"مصطلح عامى ",,"لازم","A2",139.93
"اسم",,"عنصر","B2",139.8
"اسم",,"رؤية","C1",139.74
"اسم",,"سلاح","B2",139.67
"اسم",,"مكتب","A1",139.36
"اسم",,"مناسبة","A2",139.07
"صفة",,"حي","B2",138.87
"ظرف مكان",,"وراء","A1",138.82
"صفة",,"قادر","B1",138.75
"شبه جملة",,"بواسطة","C1",138.51
"اسم  ",,"رياض","C1",138.05
"اسم",,"إذن","B1",138
"اسم",,"استثمار","B2",137.87
"اسم",,"إمام","B1",137.8
"فعل",,"رغب","B1",137.58
"اسم",,"إطلاق","C1",137.27
"اسم",,"أمل","B1",137.11
"اسم",,"علاج","A2",136.47
"اسم",,"ليلة","A1",136.37
"صفة",,"جيد","A1",136.19
"اسم",,"جهد","B1",135.95
"فعل",,"لا بد","B1",135.91
"اسم",,"صناعة","B1",135.8
"صفة",,"أساسي","A1",135.66
"فعل",,"شرع","C1",135.27
"فعل",,"طرح","C1",135.06
"اسم",,"جمهورية","B1",134.87
"صفة",,"يومي","A1",134.69
"صفة",,"نووي","B2",134.68
"اسم",,"اتجاه","A2",134.31
"اسم",,"وكالة","B1",134.18
"اسم",,"شمال","A1",133.99
"فعل / اسم",,"تطور","B2",133.85
"اسم",,"مسجد","A1",133.69
"مفعول مطلق / حال",,"شكراً","A1",133.44
"اسم",,"إصلاح","C1",133.28
"اسم",,"منطق","B1",133.13
"اسم",,"خطوة","B2",132.98
"صفة",,"تجاري","B1",132.97
"اسم / فعل",,"ضرب","B1",132.75
"اسم",,"مباراة","A2",130.83
"اسم (مضاف ومضاف إليه)",,"بني آدم  ","B2",130.8
"اسم",,"سماء","A2",130.53
"فعل",,"أخر","A1",130.14
"صفة",,"صحفي","A2",129.99
"اسم",,"رئاسة","C1",129.82
"اسم",,"فرض","B1",129.75
"اسم",,"شبه","B1",129.07
"اسم",,"طبق","A1",128.75
"اسم",,"مفهوم","A2",128.33
"اسم / فعل",,"ورد","A1",128.2
"صفة",,"غريب","A1",128.07
"فعل",,"جلس","A1",127.93
"اسم",,"تحرير","C1",127.9
"اسم",,"عائلة","A1",127.88
"اسم",,"قائد","B1",127.85
"فعل / اسم",,"حفظ","B2",127.53
"صفة",,"قومي","B2",127.43
"اسم",,"اقتصاد","B2",127.36
"صفة",,"مهم","A2",127.26
"اسم",,"صدق","A2",127.22
"اسم",,"كلية","A1",127.14
"صفة",,"مطلوب","A2",127.09
"فعل",,"حج","B1",126.83
"مصطلح للدعاء",,"إن شاء الله","A1",126.57
"اسم",,"حضارة","B2",126.2
"اسم",,"تجارة","B1",125.64
"اسم",,"درج","A1",125.59
"اسم",,"شبكة","B1",125.19
"اسم",,"مبدأ","B1",125.16
"اسم",,"خطاب","A1",124.99
"صفة",,"أهلي","A1",124.97
"صفة",,"صالح","B2",124.63
"اسم",,"إيمان","B1",124.59
"اسم",,"خصوص","B1",124.56
"فعل",,"تدخل","B1",124.32
"فعل",,"توج","C2",124.31
"صفة",,"دقيق","B1",124.27
"اسم",,"عكس","A1",124.1
"اسم",,"منزل","A1",124.06
"فعل",,"حرم","B2",123.54
"اسم",,"طائر","A2",123.54
"اسم",,"شهادة","B1",123.51
"صفة",,"خلف","A1",123.37
"صفة",,"تاريخي","B1",123.36
"اسم",,"اختيار","B1",123.34
"اسم ",,"حاكم","B2",123.11
"اسم",,"جنب","A1",122.63
"اسم",,"حدود","B2",122.54
"اسم",,"صراع","B2",122.52
"اسم",,"تنمية","B2",122.21
"اسم",,"دستور","C1",121.65
"اسم",,"تدريب","A2",121.39
"فعل",,"قطع","A2",121.26
"اسم",,"إنشاء","B2",121.11
"اسم",,"بحر","A1",120.99
"اسم",,"عبارة","A2",120.88
"فعل",,"تحول","B2",120.83
"اسم تفضيل",,"أكبر","A1",120.49
"صفة",,"سعيد","A1",119.81
"اسم",,"وصول","A2",119.71
"اسم",,"جمهور","B2",119.41
"اسم",,"شيخ","A2",119.22
"اسم / فعل",,"ضم","B2",119.14
"اسم",,"دِين","A2",118.92
"فعل",,"ينبغي أن ","C1",118.87
"صفة",,"مباشرة","A2",118.81
"صفة",,"واسع","A1",118.71
"اسم / فعل",,"كشف","A2",118.7
"اسم",,"حلقة","A2",118.49
"اسم",,"تعبير","B1",118.21
"ظرف",,"حوالي","A2",117.59
"اسم",,"جو","A1",117.49
"اسم",,"حركة","B1",117.3
"اسم",,"إشارة","A2",117.26
"فعل",,"تغير","B1",116.99
"فعل",,"أعلن","B1",116.87
"فعل  ",,"حقق","B1",116.73
"اسم",,"إمكان","B1",116.72
"اسم",,"ممارسة","A2",116.51
"اسم  ",,"فتح","A1",116.14
"اسم",,"كافة","C1",116.06
"اسم",,"شاهد","A1",115.91
"فعل",,"أعتقد","B1",115.79
"اسم",,"إقامة","B1",114.47
"ظرف",,"أحياناً","A2",114.45
"اسم",,"تربية","B1",113.96
"اسم",,"طول","A2",113.62
"فعل",,"تقدم","B1",113.33
"فعل",,"قرر","B1",113.14
"اسم",,"قرية","A1",112.9
"فعل",,"نجد","A2",112.71
"فعل",,"بان","B2",112.7
"اسم",,"أداء","B2",112.55
"ظرف مكان",,"قرب","A1",112.38
"اسم",,"نشاط","A2",112.34
"اسم",,"آل","C1",111.71
"اسم",,"سن","A1",111.63
"صفة",,"شريف","C1",111.27
"اسم",,"والد","A1",110.34
"اسم",,"جسم","A2",110.08
"اسم",,"ثقة","A1",109.77
"اسم",,"غرب","A1",109.72
"اسم",,"علوم","A1",109.56
"اسم",,"استمرار","A1",109.45
"اسم",,"عنف","A1",109.22
"فعل",,"نزل","A1",108.88
"اسم",,"تفسير","A1",108.81
"صفة",,"حكومي","A1",108.63
"اسم",,"غرفة","A1",108.55
"اسم",,"ظاهرة","A1",108.38
"اسم",,"مشهد","A1",108.33
"اسم",,"مليار","A1",108.29
"اسم",,"جسد","A1",108.25
"اسم",,"شكر","A1",108
"اسم",,"عاصمة","A1",107.56
"صفة",,"خطير","A1",107.2
"اسم",,"عدو","A1",106.96
"اسم",,"محل","A1",106.95
"اسم",,"دائرة","A1",106.71
"اسم",,"واجب","A1",106.7
"اسم",,"اهتمام","A1",106.66
"اسم",,"معارضة","A1",106.66
"اسم",,"إرهاب","A1",105.65
"اسم",,"كنيسة","A1",105
"صفة",,"دخيل","A1",104.77
"اسم",,"حادث","A1",104.63
"صفة",,"صحي","A1",104.41
"اسم",,"درس","A1",104.39
"اسم",,"مسؤولية","A1",104.38
"اسم",,"نظرة","A1",104.32
"اسم",,"تصريح","A1",104.26
"فعل",,"سمح","A1",104.24
"اسم",,"ديمقراطية","A1",104.13
"صفة",,"مقبل","A1",104.03
